HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459436.8899089,2021-08-10.3919464,bH,1.45,14.987,10.636,0.006,202.124,1.017,g
2459436.8912015,2021-08-10.3932390,bH,1.45,14.978,10.615,0.005,206.008,0.993,g
2459437.8794411,2021-08-11.3814031,bH,1.5,14.982,10.650,0.005,199.583,0.964,g
2459437.8807299,2021-08-11.3826918,bH,1.51,14.993,10.666,0.005,196.573,0.987,g
2459437.8820121,2021-08-11.3839739,bH,1.49,14.986,10.654,0.005,198.955,0.934,g
2459439.8856271,2021-08-13.3874334,bH,1.51,14.997,10.657,0.005,198.210,0.988,g
2459439.8869203,2021-08-13.3887265,bH,1.48,14.997,10.655,0.005,198.489,0.906,g
2459439.8882216,2021-08-13.3900277,bH,1.52,14.981,10.618,0.005,205.482,0.954,g
2459442.8709516,2021-08-16.3725209,bH,1.46,14.974,10.618,0.005,205.582,0.976,g
2459442.8722450,2021-08-16.3738142,bH,1.45,14.978,10.622,0.005,204.714,0.955,g
2459442.8735337,2021-08-16.3751028,bH,1.51,14.970,10.601,0.005,208.682,0.960,g
2459443.8747840,2021-08-17.3762723,bl,1.5,14.925,10.620,0.005,205.083,1.028,g
2459443.8760340,2021-08-17.3775221,bl,1.49,14.928,10.625,0.006,204.043,1.074,g
2459443.8772844,2021-08-17.3787725,bl,1.56,14.935,10.630,0.005,203.316,1.019,g
2459445.1220524,2021-08-18.6234390,bD,1.64,15.233,10.644,0.004,200.581,0.770,g
2459445.1233246,2021-08-18.6247111,bD,1.71,15.242,10.662,0.004,197.296,0.762,g
2459445.1245571,2021-08-18.6259435,bD,1.65,15.236,10.652,0.004,199.097,0.763,g
2459447.8591968,2021-08-21.3603571,bH,1.54,14.914,10.629,0.006,203.465,1.160,g
2459448.8596139,2021-08-22.3606903,bH,1.69,14.867,10.631,0.006,203.079,1.248,g
2459453.0765851,2021-08-26.5773025,bD,1.57,15.204,10.666,0.004,196.493,0.851,g
2459453.0778408,2021-08-26.5785582,bD,1.55,15.199,10.651,0.004,199.333,0.829,g
2459453.0790970,2021-08-26.5798142,bD,1.54,15.192,10.650,0.004,199.699,0.815,g
2459453.8717930,2021-08-27.3724418,bH,1.46,14.986,10.623,0.005,204.521,0.977,g
2459453.8730822,2021-08-27.3737309,bH,1.5,14.996,10.634,0.005,202.401,0.972,g
2459453.8743794,2021-08-27.3750280,bH,1.51,14.991,10.626,0.005,203.940,0.926,g
2459455.0802814,2021-08-28.5808254,bD,1.47,15.214,10.651,0.004,199.300,0.808,g
2459455.0815529,2021-08-28.5820968,bD,1.51,15.206,10.650,0.004,199.470,0.757,g
2459455.0828203,2021-08-28.5833641,bD,1.47,15.213,10.647,0.004,200.066,0.815,g
2459455.8349925,2021-08-29.3354708,bH,1.5,14.969,10.635,0.005,202.243,1.017,g
2459455.8362877,2021-08-29.3367659,bH,1.53,14.970,10.627,0.005,203.713,1.007,g
2459455.8375902,2021-08-29.3380683,bH,1.52,14.968,10.640,0.005,201.381,0.994,g
2459456.0724394,2021-08-29.5728969,bD,1.68,15.217,10.645,0.004,200.437,0.803,g
2459456.0737001,2021-08-29.5741576,bD,1.68,15.220,10.646,0.004,200.360,0.833,g
2459456.0749703,2021-08-29.5754276,bD,1.65,15.230,10.656,0.005,198.559,0.856,g
2459456.5787586,2021-08-30.0791719,bp,1.64,14.891,10.614,0.005,206.158,1.030,g
